k,k-item set,Number of occurrences
1,"('whole milk',)",2363
1,"('other vegetables',)",1827
1,"('rolls/buns',)",1646
1,"('soda',)",1453
1,"('yogurt',)",1285
1,"('root vegetables',)",1041
1,"('tropical fruit',)",1014
1,"('bottled water',)",908
1,"('sausage',)",903
1,"('citrus fruit',)",795
1,"('pastry',)",774
1,"('pip fruit',)",734
1,"('shopping bags',)",712
1,"('canned beer',)",702
1,"('bottled beer',)",678
1,"('whipped/sour cream',)",654
1,"('newspapers',)",582
1,"('frankfurter',)",565
1,"('brown bread',)",563
1,"('domestic eggs',)",555
1,"('pork',)",555
1,"('butter',)",527
1,"('fruit/vegetable juice',)",509
1,"('beef',)",508
1,"('curd',)",504
1,"('margarine',)",482
1,"('coffee',)",473
1,"('frozen vegetables',)",419
1,"('chicken',)",417
1,"('white bread',)",359
1,"('cream cheese ',)",354
1,"('chocolate',)",353
1,"('dessert',)",353
1,"('napkins',)",331
1,"('hamburger meat',)",327
1,"('berries',)",326
1,"('UHT-milk',)",320
1,"('onions',)",303
1,"('salty snack',)",281
1,"('waffles',)",277
1,"('long life bakery product',)",268
1,"('sugar',)",265
1,"('butter milk',)",263
1,"('ham',)",256
1,"('meat',)",252
1,"('frozen meals',)",251
1,"('beverages',)",248
1,"('specialty chocolate',)",239
1,"('misc. beverages',)",236
1,"('ice cream',)",227
1,"('oil',)",223
1,"('hard cheese',)",220
1,"('grapes',)",216
1,"('candy',)",215
1,"('sliced cheese',)",210
1,"('specialty bar',)",209
1,"('hygiene articles',)",205
1,"('chewing gum',)",180
1,"('cat food',)",177
1,"('white wine',)",175
1,"('herbs',)",158
1,"('red/blush wine',)",157
1,"('processed cheese',)",152
1,"('soft cheese',)",150
1,"('flour',)",146
1,"('semi-finished bread',)",142
1,"('dishes',)",135
1,"('pickled vegetables',)",134
1,"('detergent',)",129
1,"('packaged fruit/vegetables',)",127
1,"('baking powder',)",121
1,"('pasta',)",121
1,"('pot plants',)",117
1,"('canned fish',)",115
1,"('seasonal products',)",106
1,"('liquor',)",103
1,"('frozen fish',)",102
1,"('spread cheese',)",100
1,"('condensed milk',)",98
1,"('mustard',)",92
1,"('cake bar',)",92
1,"('frozen dessert',)",92
1,"('salt',)",89
1,"('pet care',)",85
1,"('roll products ',)",82
1,"('canned vegetables',)",82
1,"('turkey',)",80
1,"('photo/film',)",79
1,"('mayonnaise',)",75
1,"('cling film/bags',)",74
1,"('dish cleaner',)",73
1,"('frozen potato products',)",72
1,"('specialty cheese',)",72
1,"('flower (seeds)',)",69
1,"('sweet spreads',)",68
1,"('liquor (appetizer)',)",67
1,"('dog food',)",67
1,"('candles',)",66
1,"('finished products',)",64
1,"('Instant food products',)",60
1,"('chocolate marshmallow',)",60
1,"('zwieback',)",60
1,"('instant coffee',)",59
1,"('vinegar',)",51
1,"('liver loaf',)",50
1,"('rice',)",49
1,"('popcorn',)",48
1,"('soups',)",48
1,"('curd cheese',)",46
1,"('sparkling wine',)",46
1,"('house keeping products',)",45
1,"('sauces',)",44
1,"('cereals',)",42
1,"('softener',)",41
1,"('spices',)",40
1,"('female sanitary products',)",40
1,"('brandy',)",38
1,"('male cosmetics',)",37
1,"('meat spreads',)",35
1,"('jam',)",34
1,"('dental care',)",33
1,"('nuts/prunes',)",33
1,"('ketchup',)",32
1,"('rum',)",32
1,"('cleaner',)",31
1,"('kitchen towels',)",30
1,"('fish',)",29
1,"('artif. sweetener',)",29
1,"('specialty fat',)",29
1,"('light bulbs',)",29
1,"('snack products',)",27
1,"('tea',)",27
1,"('potato products',)",23
1,"('nut snack',)",22
1,"('abrasive cleaner',)",22
1,"('organic sausage',)",22
1,"('tidbits',)",22
1,"('syrup',)",21
1,"('canned fruit',)",21
1,"('skin care',)",20
1,"('soap',)",20
1,"('prosecco',)",19
1,"('cookware',)",17
1,"('bathroom cleaner',)",17
1,"('pudding powder',)",17
1,"('cocoa drinks',)",16
1,"('flower soil/fertilizer',)",16
1,"('ready soups',)",15
1,"('cooking chocolate',)",15
2,"('other vegetables', 'whole milk')",222
2,"('whole milk', 'rolls/buns')",209
